,developerResponse,date,review,score,userName
0,"{'reviewId': '8547bb4e-5ba6-4e2e-98d3-47f7b1119e07', 'userName': 'Christopher Bladek', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocJbr68FoakzluorBl5vZ9buSLoCwdG5LJQwi35AwCL0eHRcIw=mo', 'content': ""It's interesting. Some of it works pretty well, some of it is pretty frustrating and also impossible to navigate: for instance, the language games. They're ALL in Mandarin w/ no option to change this anywhere. My daughter doesn't have any background in Mandarin, and the games require a basic understanding of the language. I may update with more areas that could stand to be improved upon. It's a neat concept. Just wish it was better executed. And, as someone else commented, it is sluggish - even on our fairly decent tablet."", 'score': 3, 'thumbsUpCount': 208, 'reviewCreatedVersion': '3.9', 'at': datetime.datetime(2021, 7, 15, 3, 37, 47), 'replyContent': ""Hello and thank you for your feedback, we're sorry to hear that the app is sluggish on your device, we are working on improving its performance on all devices. We've noted your comments on the language games too. Don't hesitate to contact our client support on support@edokiacademy.com"", 'repliedAt': datetime.datetime(2021, 7, 18, 22, 4, 49), 'appVersion': '3.9'}",2021-07-15 03:37:47,"It's interesting. Some of it works pretty well, some of it is pretty frustrating and also impossible to navigate: for instance, the language games. They're ALL in Mandarin w/ no option to change this anywhere. My daughter doesn't have any background in Mandarin, and the games require a basic understanding of the language. I may update with more areas that could stand to be improved upon. It's a neat concept. Just wish it was better executed. And, as someone else commented, it is sluggish - even on our fairly decent tablet.",3,Christopher Bladek
1,"{'reviewId': '1cccad67-9afc-4f50-a741-da694cf6d9d5', 'userName': 'Valery Clark', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocJA_fA8Rsk8fjpQkrHT5npiCjyw62XJMqnooexOOk_2_txNoQ=mo', 'content': 'I am absolutely beside myself! I cannot begin to describe how much I love this app! I played with the trial version for about 6 months to make sure it was what I was looking for. I have been using the paid service for about 5 months with 2 students. I did have some reservations about some holiday content, but there is a setting to turn those off. This is truly a montessori at home experience. I have also found some of the math material to be helpful for my older kids. I love, love, LOVE it!', 'score': 5, 'thumbsUpCount': 98, 'reviewCreatedVersion': '4.2', 'at': datetime.datetime(2021, 12, 20, 11, 13, 38), 'replyContent': None, 'repliedAt': None, 'appVersion': '4.2'}",2021-12-20 11:13:38,"I am absolutely beside myself! I cannot begin to describe how much I love this app! I played with the trial version for about 6 months to make sure it was what I was looking for. I have been using the paid service for about 5 months with 2 students. I did have some reservations about some holiday content, but there is a setting to turn those off. This is truly a montessori at home experience. I have also found some of the math material to be helpful for my older kids. I love, love, LOVE it!",5,Valery Clark
2,"{'reviewId': 'da4c86e8-57a1-4491-8fa5-785dfbb2c53f', 'userName': 'Austin Hill', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocIhBcCJ3UFqKBT1ztSH_dlKXIF9_pRNeCX96lYc9tZT7A4xOg=mo', 'content': ""Pretty much everything you click on says subscribe for $10 a month. The main page has a big subscribe button. Everywhere you go there's a subscribe button on the page and it's in you face. Every area is locked except for a few here and there where you can do the first 1 or 2 levels. Not something my 3 year old likes."", 'score': 1, 'thumbsUpCount': 67, 'reviewCreatedVersion': '5.01', 'at': datetime.datetime(2023, 7, 11, 22, 15, 43), 'replyContent': 'Hello, there are 12 games that are completely free, and we offer a 1-week free trial for you to make up your mind. Contact our team for more information: support@edokiacademy.com', 'repliedAt': datetime.datetime(2023, 7, 10, 10, 13, 9), 'appVersion': '5.01'}",2023-07-11 22:15:43,Pretty much everything you click on says subscribe for $10 a month. The main page has a big subscribe button. Everywhere you go there's a subscribe button on the page and it's in you face. Every area is locked except for a few here and there where you can do the first 1 or 2 levels. Not something my 3 year old likes.,1,Austin Hill
3,"{'reviewId': 'e8c711f2-a62e-47dc-9845-834c1b4b153d', 'userName': 'Misbah Uddin', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocKQkVJ8Dyq8MJwNn_C0O-aloVsY0Nx9R4pPLi0gIEsQ1mLvpQ=mo', 'content': ""Why can't I have a 7 day free trial this game is hideous why can't you be like time table rockstars (ttrockstars) and also ttrockstars you can do times tables to change your avatar but usually you need to go to a school that does ttrockstars and the owner of this game needs to stopped for my whole career so I'm rating it 1 star it is not even fun or Educational I'm sorry for being really rude to you but you really need to know how to do tech this game is stupid so I'm deleting"", 'score': 1, 'thumbsUpCount': 0, 'reviewCreatedVersion': '5.4.4', 'at': datetime.datetime(2024, 10, 19, 1, 50, 37), 'replyContent': 'Hello, If you want to try the full content, you need to start a subscription but the first 7 days are free and as long as you unsubscribe at least 24 hours before the end of this period, you will not get charged anything. You can contact us at support@edokiacademy.com , we are always opened for constructive feedback.', 'repliedAt': datetime.datetime(2024, 10, 21, 9, 38, 55), 'appVersion': '5.4.4'}",2024-10-19 01:50:37,Why can't I have a 7 day free trial this game is hideous why can't you be like time table rockstars (ttrockstars) and also ttrockstars you can do times tables to change your avatar but usually you need to go to a school that does ttrockstars and the owner of this game needs to stopped for my whole career so I'm rating it 1 star it is not even fun or Educational I'm sorry for being really rude to you but you really need to know how to do tech this game is stupid so I'm deleting,1,Misbah Uddin
4,"{'reviewId': '633f5719-5a17-4c70-8488-c99be8dd7029', 'userName': 'Mau', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjWQ0ql5QXYfr_3UjmrA1ThTA6UCA_3Nih-h8mrP9r54KhMwD5ylgQ', 'content': ""Fixed!!! Thks a lot for your support!!!, The app doesn't open, at the start freeze and never load to use it on google pixel 9 pro."", 'score': 5, 'thumbsUpCount': 2, 'reviewCreatedVersion': '5.4.3', 'at': datetime.datetime(2024, 10, 1, 8, 53, 55), 'replyContent': 'Hello, we are sorry to hear that you have trouble with opening our app. Could you please contact the support at support@edokiacademy.com so they can help you resolve this matter.', 'repliedAt': datetime.datetime(2024, 9, 18, 21, 53, 16), 'appVersion': '5.4.3'}",2024-10-01 08:53:55,"Fixed!!! Thks a lot for your support!!!, The app doesn't open, at the start freeze and never load to use it on google pixel 9 pro.",5,Mau
5,"{'reviewId': '172f2e04-59e1-4d1e-9825-0200fea0b529', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': ""I tried the 7 day trial, and the app is well constructed with a lot of diversity (very well made to help children move forwards educationally). The cost at the moment isn't something I can afford, and I mistakenly unsubscribed too late (which at first caused my account to be billed), but I was able to resolve the problem with the customer service representatives (they were very quick in responding, and addressed the situation appropriately). I highly recommend the app and the company."", 'score': 5, 'thumbsUpCount': 78, 'reviewCreatedVersion': '2.8.5', 'at': datetime.datetime(2019, 11, 27, 8, 23, 32), 'replyContent': None, 'repliedAt': None, 'appVersion': '2.8.5'}",2019-11-27 08:23:32,"I tried the 7 day trial, and the app is well constructed with a lot of diversity (very well made to help children move forwards educationally). The cost at the moment isn't something I can afford, and I mistakenly unsubscribed too late (which at first caused my account to be billed), but I was able to resolve the problem with the customer service representatives (they were very quick in responding, and addressed the situation appropriately). I highly recommend the app and the company.",5,A Google user
6,"{'reviewId': '585348d1-618c-4845-a23f-270693251f4f', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'this is a wonderful app, quite expensive but totally worth it my child loves it, i have changed my starnrsting up and down over time as had some problem tith the app size stopping acccess - technical difficilties that the support team were initially slow in resolving - however, they then came back and persevered to fix the problem- as you would hope to see for an expensive app like this. It is totally worth it for the quality and variety of interactive and educational games, some lovely touches.', 'score': 5, 'thumbsUpCount': 87, 'reviewCreatedVersion': '2.1.1', 'at': datetime.datetime(2019, 2, 18, 7, 41, 22), 'replyContent': None, 'repliedAt': None, 'appVersion': '2.1.1'}",2019-02-18 07:41:22,"this is a wonderful app, quite expensive but totally worth it my child loves it, i have changed my starnrsting up and down over time as had some problem tith the app size stopping acccess - technical difficilties that the support team were initially slow in resolving - however, they then came back and persevered to fix the problem- as you would hope to see for an expensive app like this. It is totally worth it for the quality and variety of interactive and educational games, some lovely touches.",5,A Google user
7,"{'reviewId': 'fca90fbe-23f8-4125-91fc-37738a1d515b', 'userName': 'Javis Li', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocJBV0_PoGfWpVwjeCXZLXTUXWqBdNJRFUE8yzpAb7ZllLz4cQ=mo', 'content': ""Hi I tried the free version on iPad and it worked well. However when I wanted to downloaded it on a Samsung tablet, I couldn't get through I chose yearly subscription, it asked me to enter the birth year, I tried and my son, both didn't work. I clicked the cross and it kept loading However when I tried to add another kid and entered my birth year, it's ok. Please let me know how it can be fixed as I want to subscribe it when it's half price."", 'score': 2, 'thumbsUpCount': 9, 'reviewCreatedVersion': None, 'at': datetime.datetime(2020, 8, 18, 2, 10, 35), 'replyContent': ""Hello, We are going to help. We've answered directly on your email address. Best,"", 'repliedAt': datetime.datetime(2020, 8, 20, 5, 2, 49), 'appVersion': None}",2020-08-18 02:10:35,"Hi I tried the free version on iPad and it worked well. However when I wanted to downloaded it on a Samsung tablet, I couldn't get through I chose yearly subscription, it asked me to enter the birth year, I tried and my son, both didn't work. I clicked the cross and it kept loading However when I tried to add another kid and entered my birth year, it's ok. Please let me know how it can be fixed as I want to subscribe it when it's half price.",2,Javis Li
8,"{'reviewId': 'e7c595a0-d60e-4402-be56-ebe3c1bb4f43', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'So much potential! Love the activities in this app. I purchased it, so should have access to it all however certain parts don\'t work. Right now the beehive activity isn\'t working, the calendar wasn\'t working earlier. It fluctuates and disappointed my toddler when he get his special time to ""play"" on this app. Also it gets really slow and glitchy and I am using a brand new device that is updated. So a little disappointment, but wish it would always work!!', 'score': 3, 'thumbsUpCount': 75, 'reviewCreatedVersion': '3.0', 'at': datetime.datetime(2020, 1, 17, 11, 29, 9), 'replyContent': None, 'repliedAt': None, 'appVersion': '3.0'}",2020-01-17 11:29:09,"So much potential! Love the activities in this app. I purchased it, so should have access to it all however certain parts don't work. Right now the beehive activity isn't working, the calendar wasn't working earlier. It fluctuates and disappointed my toddler when he get his special time to ""play"" on this app. Also it gets really slow and glitchy and I am using a brand new device that is updated. So a little disappointment, but wish it would always work!!",3,A Google user
9,"{'reviewId': 'e4b4fae1-12d2-4ea6-b6ae-7890c77d7fae', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': ""I like it. My kids love it and it's educational. My two-year-old daughter will be playing it and also giving them access to all kinds of rhymes. I love that they make it fun and there are mini-games after fully completing a puzzle. This Montessori app is wonderful, particularly for times with the little one needs to be quiet. Thank you!"", 'score': 5, 'thumbsUpCount': 8, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 5, 12, 5, 12, 30), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-05-12 05:12:30,"I like it. My kids love it and it's educational. My two-year-old daughter will be playing it and also giving them access to all kinds of rhymes. I love that they make it fun and there are mini-games after fully completing a puzzle. This Montessori app is wonderful, particularly for times with the little one needs to be quiet. Thank you!",5,A Google user
