developerResponse,date,review,score,userName,IOS,Name
"{'reviewId': '54a1ed7a-84f3-4441-a5d4-2d5b68a27b15', 'userName': 'Amoin Kouakou', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocLNcma2CpupZE_-WVx5YBTBmL8ojn_joFcrTwf67HslZ-989y0=mo', 'content': ""My toddler loooves this and often comes back to it. I love that most of the activities are teaching opportunities. We both love the super expressive congratulatory sound and image effects. I'd like it better if wrong answers in the flying numbers balloon game made a slight reaction but did not burst. Often the child will touch the wrong answers just to get the sound/image effects. This decreases the sharpness of the distinction between correct and incorrect answers."", 'score': 4, 'thumbsUpCount': 1035, 'reviewCreatedVersion': '1.0.5', 'at': datetime.datetime(2022, 4, 19, 14, 14, 58), 'replyContent': 'Thank you for review, passed to developers. Thank you for providing additional info🙏', 'repliedAt': datetime.datetime(2022, 4, 20, 2, 33, 31), 'appVersion': '1.0.5'}",2022-04-19 14:14:58,My toddler loooves this and often comes back to it. I love that most of the activities are teaching opportunities. We both love the super expressive congratulatory sound and image effects. I'd like it better if wrong answers in the flying numbers balloon game made a slight reaction but did not burst. Often the child will touch the wrong answers just to get the sound/image effects. This decreases the sharpness of the distinction between correct and incorrect answers.,4,Amoin Kouakou,0,kids-math-games
"{'reviewId': '891438ba-8bc6-4155-a724-e04cc876b3dc', 'userName': 'Thabo Mathebula', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjWYTnfq8vXP_v5mKgBbOP0c88WtOcD7iqGlL9H7fk0Ymw7P1UjB', 'content': 'Absolutely fantastic my daughter is always on my phone & the most annoying things that interrupt her are these advertising media campaign she opens & opts into something i never gave consent for them!!!! To hear that there is someone other there doing it for free is amazing!!!', 'score': 5, 'thumbsUpCount': 158, 'reviewCreatedVersion': '1.3.1', 'at': datetime.datetime(2024, 6, 26, 0, 24, 28), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.1'}",2024-06-26 00:24:28,Absolutely fantastic my daughter is always on my phone & the most annoying things that interrupt her are these advertising media campaign she opens & opts into something i never gave consent for them!!!! To hear that there is someone other there doing it for free is amazing!!!,5,Thabo Mathebula,0,kids-math-games
"{'reviewId': 'd2a8e793-ecc6-4888-810e-8f40792caadb', 'userName': 'Ilya Kaplan', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjUrGJmSZ2zjJWAepZ8inN9BSbz63lEQlWrV6_t7GrsSwuICn66B0g', 'content': 'the idea of the app is great, but theres one big issue - hints. It\'s enough that the kid thinks for 5 seconds the game already shows what needs to be done. Even my kid gets angry at that - ""i wanted to solve myself!"". Other time the kid gets lazy and just waits for the hint without thinking. It\'s especially important when I want to sit with the kid and guide him to solution myself. Please add option to turn off the hints. It\'s relevant for all your math games, not just this.', 'score': 4, 'thumbsUpCount': 403, 'reviewCreatedVersion': '1.0.9', 'at': datetime.datetime(2022, 9, 19, 22, 58, 30), 'replyContent': 'Thank you very much for your review concerning our game. We are always collecting user feedback and emails that we can apply with updates.', 'repliedAt': datetime.datetime(2022, 9, 20, 1, 57, 33), 'appVersion': '1.0.9'}",2022-09-19 22:58:30,"the idea of the app is great, but theres one big issue - hints. It's enough that the kid thinks for 5 seconds the game already shows what needs to be done. Even my kid gets angry at that - ""i wanted to solve myself!"". Other time the kid gets lazy and just waits for the hint without thinking. It's especially important when I want to sit with the kid and guide him to solution myself. Please add option to turn off the hints. It's relevant for all your math games, not just this.",4,Ilya Kaplan,0,kids-math-games
"{'reviewId': '705824ee-324f-4c01-94ac-10e93830654b', 'userName': 'Al Fremer', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjX0Vb14XT8Z2yJslITPy8YVlF2fbPFVlSJx-4X2IPCP4TaxTPc', 'content': 'What a great find. My grand daughter is 6 and loves this app. We are doing puzzles, Math and spelling. I connect this up to our big TV screen and she does the exercises on the PC and it projects up to the big screen. Our grand daughter is autistic and is able to succeed at doing these works. This is fun for her and she is able to succeed and be rewarded. I am running this on my PC on ""Blue Stacks"". Thank you for doing this and keeping this free. It is worth a bunch to me and her. Thanks', 'score': 5, 'thumbsUpCount': 1037, 'reviewCreatedVersion': '1.0.3', 'at': datetime.datetime(2021, 11, 23, 6, 35, 51), 'replyContent': ""Thank you for sharing your review, it's review like this that make what we're doing so much more real. It inspires, us and give us motivation beyond what I can explain here. Thank you, we hope one day to further adapt the games for autistic kids and other kids. Thank you again for inspiring us and making our day ❤️🙏👍"", 'repliedAt': datetime.datetime(2021, 11, 24, 3, 58, 37), 'appVersion': '1.0.3'}",2021-11-23 06:35:51,"What a great find. My grand daughter is 6 and loves this app. We are doing puzzles, Math and spelling. I connect this up to our big TV screen and she does the exercises on the PC and it projects up to the big screen. Our grand daughter is autistic and is able to succeed at doing these works. This is fun for her and she is able to succeed and be rewarded. I am running this on my PC on ""Blue Stacks"". Thank you for doing this and keeping this free. It is worth a bunch to me and her. Thanks",5,Al Fremer,0,kids-math-games
"{'reviewId': '0bf98101-085a-4868-a1d3-6f8f6ee0ec5c', 'userName': 'Maurice Taylor', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjX77xwVHiox961moarlLigLV5x8849WCKJXzk8X-zAZR0ux_MKh', 'content': 'Please remove hinting. It is extremely important to brain development, and learning in general, for a child to be able to figure it out on your own before intervention. At the very least, put an option to either turn hinting off or increase the time inbetween hints.', 'score': 2, 'thumbsUpCount': 163, 'reviewCreatedVersion': '1.1.3', 'at': datetime.datetime(2022, 12, 5, 9, 59, 9), 'replyContent': 'Thank you very much for your review concerning our game. We are always collecting user feedback and emails that we can apply with updates.', 'repliedAt': datetime.datetime(2022, 12, 9, 1, 42, 39), 'appVersion': '1.1.3'}",2022-12-05 09:59:09,"Please remove hinting. It is extremely important to brain development, and learning in general, for a child to be able to figure it out on your own before intervention. At the very least, put an option to either turn hinting off or increase the time inbetween hints.",2,Maurice Taylor,0,kids-math-games
"{'reviewId': '4c8bf0b2-53fd-4473-b3da-758c37faec71', 'userName': 'Somber', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjUS4ARlBKxDOo7BAMB7v4VO8_VyN9HAPX1o02AvgI3VZLN1A15B', 'content': ""thank you 💕 so much. it's not easy to find quality for free. super impressed and grateful 💖"", 'score': 5, 'thumbsUpCount': 5, 'reviewCreatedVersion': '1.3.3', 'at': datetime.datetime(2024, 10, 23, 7, 28, 45), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.3'}",2024-10-23 07:28:45,thank you 💕 so much. it's not easy to find quality for free. super impressed and grateful 💖,5,Somber,0,kids-math-games
"{'reviewId': '18dda484-543b-41b7-a16f-23d2ffd944c8', 'userName': 'Sarah B', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocIg7q9MKnrygLLllAvar8KUFX9tVbHWphgQLebJSRVtHaxxbw=mo', 'content': 'Last week my 2 year old found and downloaded Baby Games by the same creators then he mastered everything and so we were looking for more of a challenge and got Numbers as well. Today he was learning greater than and less than and getting it right!!! he loves the little collectable along the way', 'score': 5, 'thumbsUpCount': 271, 'reviewCreatedVersion': '1.0.8', 'at': datetime.datetime(2022, 6, 27, 22, 7, 31), 'replyContent': ""Thank you so much for sharing, it's reviews like this that inspire us beyond words ❤️. We're parents too and reading how our apps are helping at a personal level is truly what keeps us going to keep creating educational apps. Thank you for sharing and support 😀👍❤️🙏"", 'repliedAt': datetime.datetime(2022, 6, 28, 7, 0, 41), 'appVersion': '1.0.8'}",2022-06-27 22:07:31,Last week my 2 year old found and downloaded Baby Games by the same creators then he mastered everything and so we were looking for more of a challenge and got Numbers as well. Today he was learning greater than and less than and getting it right!!! he loves the little collectable along the way,5,Sarah B,0,kids-math-games
"{'reviewId': '56b09447-2644-4e14-86e6-588e5325e30b', 'userName': 'Forgive Mawusi', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocIMB-KVZC5gWkAFpvWvbRKkw-DJHGSnhpbzfZY_5exCf805zg=mo', 'content': 'Best app for kids. Good for children. I really love it. Thank you for the app', 'score': 5, 'thumbsUpCount': 61, 'reviewCreatedVersion': '1.3.3', 'at': datetime.datetime(2024, 8, 29, 16, 38, 23), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.3'}",2024-08-29 16:38:23,Best app for kids. Good for children. I really love it. Thank you for the app,5,Forgive Mawusi,0,kids-math-games
"{'reviewId': 'e4dbd35e-d4e5-46b2-a8aa-d2508f3da99b', 'userName': 'Loveland Borealis', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocKFpoaWL_bTcRSS-Fyw9OBBIbOObkxuQf8jQPfXHtBUz1xHzg=mo', 'content': ""My heartfelt gratitude to the founder of this app for making it free . I can't say thank you enough for your heart felt generosity to help us parents . The universe will grant you your best payments for for your kindness and making a difference in both the lives of children and parents. Thank you for very much from the bottom of my heart. This is the only apps that is free so far and no interrupting ads and kids can focus without the ads interruptions. it's a good apps for your little ones."", 'score': 5, 'thumbsUpCount': 287, 'reviewCreatedVersion': '1.0.8', 'at': datetime.datetime(2022, 7, 3, 20, 39), 'replyContent': ""♥️♥️♥️! Thank you so much for the wonderful review, it truly touches our heart when we read a detailed review of how the app is helping beyond what I can express here. These reviews inspire us, because believe me - creating quality free apps is a lot of work, expensive and challenging many days. It's reviews like this that light a fire 🔥 in us!🙏"", 'repliedAt': datetime.datetime(2022, 7, 4, 6, 11, 55), 'appVersion': '1.0.8'}",2022-07-03 20:39:00,My heartfelt gratitude to the founder of this app for making it free . I can't say thank you enough for your heart felt generosity to help us parents . The universe will grant you your best payments for for your kindness and making a difference in both the lives of children and parents. Thank you for very much from the bottom of my heart. This is the only apps that is free so far and no interrupting ads and kids can focus without the ads interruptions. it's a good apps for your little ones.,5,Loveland Borealis,0,kids-math-games
"{'reviewId': '1571e94b-1b32-4c0b-9d46-9db1e7bf4c3f', 'userName': 'Wambui', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocItEG0YeL81Fz8ANqI4-DtoIW6QYfW_jtxM42SVpbopb5SW2Q=mo', 'content': 'Above average. I would give it a 4 🌟 or even a 5 🌟 if it allowed me to disable the hints, or at least to increase the time when the hint comes out. The hints appear so soon even before my kid finishes doing the calculations.', 'score': 3, 'thumbsUpCount': 171, 'reviewCreatedVersion': '1.1.3', 'at': datetime.datetime(2023, 1, 9, 3, 57, 3), 'replyContent': 'Thank you very much for your review concerning our game. We are always collecting user feedback and emails that we can apply with updates.', 'repliedAt': datetime.datetime(2023, 1, 10, 2, 9, 37), 'appVersion': '1.1.3'}",2023-01-09 03:57:03,"Above average. I would give it a 4 🌟 or even a 5 🌟 if it allowed me to disable the hints, or at least to increase the time when the hint comes out. The hints appear so soon even before my kid finishes doing the calculations.",3,Wambui,0,kids-math-games
