developerResponse,date,review,score,userName
"{'reviewId': '2b1b9277-c709-4215-b7b3-c3f47b40bd3e', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Let\'s face it, there are hardly any words in this free edition of the app. It\'s not really an app to use, only to see if you want to buy the full version. And even then, there are hardly enough words to tell if I want to. Also, the animations between words are ridiculously long, and I\'ve checked the ""shorter animations"" box already in settings. It\'s like 10 seconds - WAY too long! Don\'t bother with this one. Nice concept but not worth it.', 'score': 2, 'thumbsUpCount': 115, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2020, 2, 11, 9, 51, 25), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2020-02-11 09:51:25,"Let's face it, there are hardly any words in this free edition of the app. It's not really an app to use, only to see if you want to buy the full version. And even then, there are hardly enough words to tell if I want to. Also, the animations between words are ridiculously long, and I've checked the ""shorter animations"" box already in settings. It's like 10 seconds - WAY too long! Don't bother with this one. Nice concept but not worth it.",2,A Google user
"{'reviewId': '8b384650-6aa4-4d2e-9f8a-2589b1c3e433', 'userName': 'Nina Tagayo', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjXP1iQkFdZIsl_gWDoBEFBTe3Y5YyeqRKpNFnAOx19AzZo5i5QTeQ', 'content': 'This actually is a very awesome app for children to practice reading AND spelling. But, of course it needs updating. Last update was in 2013. Very outdated. And, I suggest that there is an option where small letters are used instead of the big letters since most letters used in sentences are small letters.', 'score': 4, 'thumbsUpCount': 40, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2022, 7, 16, 11, 24, 27), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2022-07-16 11:24:27,"This actually is a very awesome app for children to practice reading AND spelling. But, of course it needs updating. Last update was in 2013. Very outdated. And, I suggest that there is an option where small letters are used instead of the big letters since most letters used in sentences are small letters.",4,Nina Tagayo
"{'reviewId': '78125f22-fa93-4a1b-b40f-b895c02ca365', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Concept is great and kids can learn really fast but why are the animations between words so long? (may be there is a hidden way to go to the next letter without suffering thru a whole minute or two of boring animations) Even I got bored with them, and thought something was wrong with the app. Please make them smaller, 2-3seconds maximum.', 'score': 3, 'thumbsUpCount': 108, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2019, 1, 17, 19, 12, 31), 'replyContent': 'When animations are displayed you can go to the next letter or word using the top-right arrow button. There are also settings to remove animations or limit the time kids spend on these animations. Open the settings from the home page and look for ""Game Time Limit"" setting.  Thanks for the review!', 'repliedAt': datetime.datetime(2019, 1, 18, 2, 30, 21), 'appVersion': '1.4'}",2019-01-17 19:12:31,"Concept is great and kids can learn really fast but why are the animations between words so long? (may be there is a hidden way to go to the next letter without suffering thru a whole minute or two of boring animations) Even I got bored with them, and thought something was wrong with the app. Please make them smaller, 2-3seconds maximum.",3,A Google user
"{'reviewId': '85a75821-3199-46df-b7a0-ac6bec7c5052', 'userName': 'A Voigt', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjXSBpHYJW_1-PccSviS5qNkVj0svsUg3k5qwpvbcu-f0XZHj9BQ', 'content': ""This app is awful for learning to read and spell; there is zero opportunity for actual learning for it is all guided as if a teacher is holding the child's hand and telling them what to do each step of the reading process. This is also dull and uninteresting. A terrible app."", 'score': 1, 'thumbsUpCount': 13, 'reviewCreatedVersion': '2.1.6', 'at': datetime.datetime(2023, 10, 20, 8, 22, 52), 'replyContent': ""This app has been used in many schools, so we believe it holds significant educational value, especially in teaching how words are formed by the sound of each letter. If you're interested in something more open-ended, you can try one of our other apps called Word Wizard."", 'repliedAt': datetime.datetime(2023, 10, 20, 10, 8, 46), 'appVersion': '2.1.6'}",2023-10-20 08:22:52,This app is awful for learning to read and spell; there is zero opportunity for actual learning for it is all guided as if a teacher is holding the child's hand and telling them what to do each step of the reading process. This is also dull and uninteresting. A terrible app.,1,A Voigt
"{'reviewId': '397db3b5-b83c-452e-90eb-e4d866de8247', 'userName': 'Boengiu Cristina', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjV68yIEHhViIRNlSRvf8xi91OveibQgn0HY8z-7hKtQp4Fn8YEPrw', 'content': 'As a beginner in teaching and modeling reading for my little one this is a wonderful tool and the background sound is so natural as it is actually the sound of the singing birds. Alsolutely love it. Thank you.', 'score': 5, 'thumbsUpCount': 10, 'reviewCreatedVersion': '2.2.2', 'at': datetime.datetime(2024, 2, 19, 5, 19, 12), 'replyContent': 'Thanks for your review. We are pleased that you enjoyed the app. If there is anything we can do for you, just let us know at support@lescapadou.com!', 'repliedAt': datetime.datetime(2024, 2, 19, 7, 35, 13), 'appVersion': '2.2.2'}",2024-02-19 05:19:12,As a beginner in teaching and modeling reading for my little one this is a wonderful tool and the background sound is so natural as it is actually the sound of the singing birds. Alsolutely love it. Thank you.,5,Boengiu Cristina
"{'reviewId': 'cc1b8e99-7a80-4cdb-a801-d5b0eb76db69', 'userName': 'ditebogo legodi', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocJMP1y-_4jvJ56zhdY9Ar2UcAj5qmwD8INKGhx6_FYEOtp6-Q=mo', 'content': ""I love this app,but the animations are way too long. You can't even scroll and pass,the option to make them short isn't working. It's a good app just fix the animations problem. My child lost interest in your app because of them"", 'score': 1, 'thumbsUpCount': 13, 'reviewCreatedVersion': None, 'at': datetime.datetime(2022, 2, 17, 20, 23, 20), 'replyContent': ""Hi, Please contact us at support@lescapadou.com so we can be sure what settings you enabled (limiting animations time does work on our side). By the way, giving 1-star to the app doesn't really motivate us (especially if you love the app)"", 'repliedAt': datetime.datetime(2022, 2, 18, 5, 58, 48), 'appVersion': None}",2022-02-17 20:23:20,"I love this app,but the animations are way too long. You can't even scroll and pass,the option to make them short isn't working. It's a good app just fix the animations problem. My child lost interest in your app because of them",1,ditebogo legodi
"{'reviewId': 'e6002fbc-ce48-4c4d-92a6-05bec6dfe201', 'userName': 'Bello Ruqoyah', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjXb7MdOwKSaNR1d90ZW0a3CvX5G-rtt7Cq4j9huDZihSRu4zD-X', 'content': 'My love of this app is overwhelming. I the mother my use it to learn phonics. My daughter has been able to master the sounds and make simple words. Pls we will love more new words on daily basis. Thanks', 'score': 5, 'thumbsUpCount': 5, 'reviewCreatedVersion': '2.2.2', 'at': datetime.datetime(2024, 8, 27, 3, 19, 37), 'replyContent': None, 'repliedAt': None, 'appVersion': '2.2.2'}",2024-08-27 03:19:37,My love of this app is overwhelming. I the mother my use it to learn phonics. My daughter has been able to master the sounds and make simple words. Pls we will love more new words on daily basis. Thanks,5,Bello Ruqoyah
"{'reviewId': 'd2a1a170-d348-4cc9-a7d3-ba33c180bd45', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': ""It's also for beginners that need to figure out how to hear the word and then touch the letters below to fill out the squares. In movable alphabet, you can make words that are have a initial consonant, a final consonant, and a short vowel."", 'score': 5, 'thumbsUpCount': 64, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2020, 4, 14, 11, 17, 53), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2020-04-14 11:17:53,"It's also for beginners that need to figure out how to hear the word and then touch the letters below to fill out the squares. In movable alphabet, you can make words that are have a initial consonant, a final consonant, and a short vowel.",5,A Google user
"{'reviewId': 'c2e1c127-dcfc-4166-bdd2-f26a51560355', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Literally only 3 words per level on the lite version. Animation lasts way too long. Not worth it.', 'score': 1, 'thumbsUpCount': 8, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2019, 3, 11, 11, 9, 6), 'replyContent': ""Hi, This app is just a limited version to check if you like it. If you like it you can buy the full version. We don't make free apps with ads, it's not in our DNA. Animation time can be limited in settings."", 'repliedAt': datetime.datetime(2019, 3, 18, 10, 33, 9), 'appVersion': '1.4'}",2019-03-11 11:09:06,Literally only 3 words per level on the lite version. Animation lasts way too long. Not worth it.,1,A Google user
"{'reviewId': '94de0274-bb10-4cfe-9be8-b5082284308e', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': ""It's a nice app. But can you please work more on the 'c' and 'q' sounds since they both have more than one sounds."", 'score': 5, 'thumbsUpCount': 65, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2019, 4, 21, 11, 42, 34), 'replyContent': 'thanks for your feedback - before we add this feature, you can do it yourself in the app (""Sounds"" button in the letter button, then you can record sounds to replace the built-in sounds)', 'repliedAt': datetime.datetime(2019, 4, 22, 23, 27, 13), 'appVersion': '1.4'}",2019-04-21 11:42:34,It's a nice app. But can you please work more on the 'c' and 'q' sounds since they both have more than one sounds.,5,A Google user
"{'reviewId': 'b000ada3-b6ee-473b-87de-a7926dc5c70c', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Good day! I am Sheila Mae T. Seraspe. a teacher in the Philippines and an avid subscriber of your appl. I do appreciate your app because contents are taught explicitly. My learners can easily relate and follow through. In this connection, may I request that your app be used in the conduct of my action research, purely for academic purposes. The title of my action research is “Upskilling learners’ reading and speaking ability through CLICKS strategy (COLLABORATIVE LEARNING AND INDIVIDUALIZATION COMBINED FOR KEENER STUDY SKILLS )”. Part of my study is the inclusion of your app during remediation Please grant me permission to use your videos in the conduct of my action research. Indeed, your works can make miracles for Filipino kids who are struggling to read and converse in English. Thanks so much and I am hoping to hear from you the soonest. Sincerely yours, Sheila Mae T. Seraspe Teacher', 'score': 5, 'thumbsUpCount': 1, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2020, 2, 11, 17, 41, 56), 'replyContent': 'Hello, yes no problem you can use it for your research - if you need more information you can contact us at support@lescapadou.com', 'repliedAt': datetime.datetime(2020, 2, 12, 1, 41, 23), 'appVersion': '1.4'}",2020-02-11 17:41:56,"Good day! I am Sheila Mae T. Seraspe. a teacher in the Philippines and an avid subscriber of your appl. I do appreciate your app because contents are taught explicitly. My learners can easily relate and follow through. In this connection, may I request that your app be used in the conduct of my action research, purely for academic purposes. The title of my action research is “Upskilling learners’ reading and speaking ability through CLICKS strategy (COLLABORATIVE LEARNING AND INDIVIDUALIZATION COMBINED FOR KEENER STUDY SKILLS )”. Part of my study is the inclusion of your app during remediation Please grant me permission to use your videos in the conduct of my action research. Indeed, your works can make miracles for Filipino kids who are struggling to read and converse in English. Thanks so much and I am hoping to hear from you the soonest. Sincerely yours, Sheila Mae T. Seraspe Teacher",5,A Google user
"{'reviewId': 'c1a1ff46-8691-437a-a1f9-f2a7f0993743', 'userName': 'Caroline Macfarlane', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjU_rA-8RGDfn0lZbRTXtcHeIYR6PmuGKP8-gSXCewSh8pFbvzQ', 'content': 'Great app for Montessori kids learning to read and write! Just make sure you look for the lower case letters!', 'score': 5, 'thumbsUpCount': 10, 'reviewCreatedVersion': None, 'at': datetime.datetime(2022, 4, 28, 19, 36, 12), 'replyContent': 'Hello Caroline, there is a setting to choose between uppercase and lowercase: touch the gear icon, and change to lowercase. If you need to contact us please send us an email at support@lescapadou.com.', 'repliedAt': datetime.datetime(2020, 10, 3, 8, 23, 44), 'appVersion': None}",2022-04-28 19:36:12,Great app for Montessori kids learning to read and write! Just make sure you look for the lower case letters!,5,Caroline Macfarlane
"{'reviewId': '5c7f2813-9c22-44ed-8bcc-a8af4c51b0cd', 'userName': 'Sadaf ka Jahan', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjXHwJP6LzzEHzpjG8xiFos8d--MnQnbk6W1wJksPz6dQkDv6QPx', 'content': 'Superb app best app for kids. I also learn sound from this app. Good keep it up', 'score': 5, 'thumbsUpCount': 9, 'reviewCreatedVersion': None, 'at': datetime.datetime(2021, 2, 21, 18, 59, 47), 'replyContent': 'Thank you for your encouraging words!', 'repliedAt': datetime.datetime(2021, 2, 22, 1, 7, 44), 'appVersion': None}",2021-02-21 18:59:47,Superb app best app for kids. I also learn sound from this app. Good keep it up,5,Sadaf ka Jahan
"{'reviewId': 'bbd55893-43d9-4910-ac9b-bb01a7b6758a', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': ""only allows you to see 3 words.... sun, cat & kid. We can't get passed those three words."", 'score': 2, 'thumbsUpCount': 4, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 1, 21, 6, 12, 24), 'replyContent': 'Hello, this a free to try version. If you want all the words (320 words exactly)  you need to buy the full version ($3). Search for Montessori Words & Phonics on Google Play', 'repliedAt': datetime.datetime(2019, 1, 21, 6, 48, 56), 'appVersion': None}",2019-01-21 06:12:24,"only allows you to see 3 words.... sun, cat & kid. We can't get passed those three words.",2,A Google user
"{'reviewId': '47a031e1-76c6-4e9f-904e-d646c7cac6c1', 'userName': 'Sitara Bopayya', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocKuBkgKnCYuA0_ghXVrFcDKc_OBbUxc8eJ0fjY2x7wDkD_n1Q=mo', 'content': 'The free version has only three words, for which it deserves zero stars.', 'score': 1, 'thumbsUpCount': 3, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2020, 10, 11, 9, 41, 39), 'replyContent': ""Hi, there are 3 words in each section (9 words in total) in order to let you evaluate the app. There is no ad in this app but we need to make a living like everybody, so we can't offer the full app for free. Thanks for your understanding."", 'repliedAt': datetime.datetime(2020, 10, 11, 23, 55), 'appVersion': '1.4'}",2020-10-11 09:41:39,"The free version has only three words, for which it deserves zero stars.",1,Sitara Bopayya
"{'reviewId': '509e7862-cafc-436c-9540-fd312ee8d25f', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'they have the same words. for the three letter word they just have eather cat, sun or kid.', 'score': 1, 'thumbsUpCount': 1, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 7, 11, 8, 49, 15), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-07-11 08:49:15,"they have the same words. for the three letter word they just have eather cat, sun or kid.",1,A Google user
"{'reviewId': 'fa88a63b-2d70-4c6d-bece-c764f208b41f', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Thought it was good but kept just repeating the same 2 words!', 'score': 1, 'thumbsUpCount': 20, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 9, 15, 3, 6, 5), 'replyContent': 'Hi, this is a limited version of the full app so you can try the app for free.  If you want hundreds of words, you need to buy the full version (look for Montessori Words on Google Play).', 'repliedAt': datetime.datetime(2019, 9, 15, 3, 29, 6), 'appVersion': None}",2019-09-15 03:06:05,Thought it was good but kept just repeating the same 2 words!,1,A Google user
"{'reviewId': '9bde608a-7698-4039-a8c2-957b8e794eb0', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'ok my perfect app for children. i wish app ranging from ages 1 -3', 'score': 3, 'thumbsUpCount': 2, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 6, 20, 11, 8, 55), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-06-20 11:08:55,ok my perfect app for children. i wish app ranging from ages 1 -3,3,A Google user
"{'reviewId': 'fcfbab43-575e-4ed8-8565-5639a649fade', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'The app needs updated. Gives same word over and over!', 'score': 3, 'thumbsUpCount': 37, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2018, 10, 24, 9, 57, 42), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2018-10-24 09:57:42,The app needs updated. Gives same word over and over!,3,A Google user
"{'reviewId': 'c929b44d-1daf-4978-8341-b58ccbf1cb01', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Very good for kids and great for my 3 year old girl', 'score': 5, 'thumbsUpCount': 16, 'reviewCreatedVersion': None, 'at': datetime.datetime(2018, 11, 12, 20, 26, 35), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2018-11-12 20:26:35,Very good for kids and great for my 3 year old girl,5,A Google user
"{'reviewId': 'e6fb4b8c-900f-40ee-aab9-0b6f55dfdff1', 'userName': 'Muhαmed gαmer', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjWl1g_o4kgKK4i3F46YwWX06KAZaUSI_3oP5xLTYPwzGSTvCeFO', 'content': 'My Favorite Game Is The France Version Of That Game And English Version Too!', 'score': 5, 'thumbsUpCount': 25, 'reviewCreatedVersion': '2.0.8', 'at': datetime.datetime(2023, 3, 24, 12, 26, 49), 'replyContent': None, 'repliedAt': None, 'appVersion': '2.0.8'}",2023-03-24 12:26:49,My Favorite Game Is The France Version Of That Game And English Version Too!,5,Muhαmed gαmer
