developerResponse,date,review,score,userName
"{'reviewId': '4edd07ff-4b69-4828-8208-66bedd8ba8a2', 'userName': 'R M', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocJPo1E6QRdIaTPxMeYhSwwSt6NDzLaLxM061NTaI28j2jISXA=mo', 'content': ""I've never before paid for an app but this one is so worth it. It's just beautiful! I love that it takes the concept of montessori and shows how it can work wonderfully with a screen. I find it really difficult not to start playing it myself! It's honestly the most beautiful thing I've seen in the kids app world."", 'score': 5, 'thumbsUpCount': 4, 'reviewCreatedVersion': '40.0.7', 'at': datetime.datetime(2024, 10, 26, 12, 32, 31), 'replyContent': ""Thank you so much for this lovely review! We're touched Pok Pok has clicked so well with you and your family 💙"", 'repliedAt': datetime.datetime(2024, 10, 28, 9, 18, 22), 'appVersion': '40.0.7'}",2024-10-26 12:32:31,I've never before paid for an app but this one is so worth it. It's just beautiful! I love that it takes the concept of montessori and shows how it can work wonderfully with a screen. I find it really difficult not to start playing it myself! It's honestly the most beautiful thing I've seen in the kids app world.,5,R M
"{'reviewId': '354f5e22-636a-470d-8f68-d8afd4f8d8f6', 'userName': 'Danny B.', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjXSLXSdtrSsM44nL9XUT559Sj-VsJKayCvH5nWXhmfmZxsau6iw', 'content': ""My little one tried pok pok on his aunt's iPad and loved it. So glad it's out on Android now! We really appreciate the calming sounds and beautiful artwork. We didn't realize there was seasonal content but it's Halloween in the city game which is my son's favorite holiday! 🎃"", 'score': 5, 'thumbsUpCount': 16, 'reviewCreatedVersion': '40.0.5', 'at': datetime.datetime(2024, 10, 16, 20, 14, 59), 'replyContent': 'Thanks so much! We hope your kiddo has a blast with the Halloween update!', 'repliedAt': datetime.datetime(2024, 10, 18, 7, 44, 42), 'appVersion': '40.0.5'}",2024-10-16 20:14:59,My little one tried pok pok on his aunt's iPad and loved it. So glad it's out on Android now! We really appreciate the calming sounds and beautiful artwork. We didn't realize there was seasonal content but it's Halloween in the city game which is my son's favorite holiday! 🎃,5,Danny B.
"{'reviewId': 'c8eac58d-afd9-4d8d-8e8c-ece44754cbf6', 'userName': 'Codi Coley', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocLwp-DS27CeIjqWdRGZ9vCfo2FmG7TQjanOXWtP0h49OHPOjQ=mo', 'content': ""My 3 year old loves this app! He constantly asks for pok pok. I love that it's free play and he can use his imagination with all the little characters."", 'score': 5, 'thumbsUpCount': 0, 'reviewCreatedVersion': '40.0.7', 'at': datetime.datetime(2024, 10, 26, 6, 31, 43), 'replyContent': ""So important to flex those storytelling muscles early on! We're glad to hear your 3 year old has been enjoying it 🤗\n"", 'repliedAt': datetime.datetime(2024, 10, 28, 9, 16, 31), 'appVersion': '40.0.7'}",2024-10-26 06:31:43,My 3 year old loves this app! He constantly asks for pok pok. I love that it's free play and he can use his imagination with all the little characters.,5,Codi Coley
"{'reviewId': '225cf448-6592-41cc-be80-cc90d3c197f2', 'userName': 'Dora Tüz', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjUbrh56agrUzqv7cYtVMLNtVBT__ofyXTxfr1Lifk9MaTX8I3YD', 'content': 'looks amazing, but crashes every other minute and have to restart.', 'score': 3, 'thumbsUpCount': 4, 'reviewCreatedVersion': '40.0.5', 'at': datetime.datetime(2024, 10, 17, 23, 3, 40), 'replyContent': ""Hello Dora, we're so sorry to hear you're having crashing issues! If you have the time, we would love to hear more about the crashes so we can try to solve them for you. If you email us at support@playpokpok.com with a more detailed description (when the crashes occur and what they look like) we'll see what we can do for you :)"", 'repliedAt': datetime.datetime(2024, 10, 18, 7, 52, 7), 'appVersion': '40.0.5'}",2024-10-17 23:03:40,"looks amazing, but crashes every other minute and have to restart.",3,Dora Tüz
"{'reviewId': '5f259e28-ba71-481a-b817-187920617f30', 'userName': 'Nigel Woolman', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjWbewk0trw3wwTw7hpD9mNLjVnGXoXvy_gObxXTP7zpMTRYJYCS', 'content': 'So excited this is on android now. Our son was using it on a borrowed old iPad, now we can actually use our own device. I love the simplicity of the activities and how creative my kids gets with it.', 'score': 5, 'thumbsUpCount': 13, 'reviewCreatedVersion': '40.0.5', 'at': datetime.datetime(2024, 10, 17, 16, 0, 55), 'replyContent': ""We're always so impressed to see how kids play in totally unexpected and creative ways. And so happy you get to enjoy Pok Pok even more now! 🤗"", 'repliedAt': datetime.datetime(2024, 10, 18, 7, 56, 12), 'appVersion': '40.0.5'}",2024-10-17 16:00:55,"So excited this is on android now. Our son was using it on a borrowed old iPad, now we can actually use our own device. I love the simplicity of the activities and how creative my kids gets with it.",5,Nigel Woolman
"{'reviewId': 'a71c483c-3122-4b42-90a5-728bd6da2552', 'userName': 'Alexandra May', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocLr-I-B2ssRBHrnllCGs2tH3-SBL_Tb_qT7x76ud84tk_YLJA=mo', 'content': ""Absolutely love this! Open ended play is genuinely fun, thrilled it's available on android!!!"", 'score': 5, 'thumbsUpCount': 7, 'reviewCreatedVersion': '40.0.5', 'at': datetime.datetime(2024, 10, 17, 8, 46, 32), 'replyContent': 'Open-ended play is so important, but it needs to be fun, too! We hope you have a blast with Pok Pok on Android -- thank you for the kind words💙', 'repliedAt': datetime.datetime(2024, 10, 18, 7, 48, 20), 'appVersion': '40.0.5'}",2024-10-17 08:46:32,"Absolutely love this! Open ended play is genuinely fun, thrilled it's available on android!!!",5,Alexandra May
"{'reviewId': 'f10dbcb2-a9bd-462b-a400-f0579423e9b3', 'userName': 'Futao Mote', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocLHw5CdO_fnEXdfMgi2TjJ02jJtS4TycBvVffxf4O8emAGgaQ=mo', 'content': ""The ads seem nice, but when i play, i have to pay. Just make it so you have to pay for your app instead of letting someone download it for no reason because they dont have enough money. Would be one star if the ads didn't look as good."", 'score': 2, 'thumbsUpCount': 2, 'reviewCreatedVersion': None, 'at': datetime.datetime(2024, 10, 26, 6, 52, 19), 'replyContent': ""Hey there! We've set it up this way so that people can download and try it without paying first. The first 7 days are free to play and you won't be charged if you cancel your subscription before the end of the trial! If you have any questions, please feel free to reach us at support@playpokpok.com :)"", 'repliedAt': datetime.datetime(2024, 10, 26, 8, 51, 43), 'appVersion': None}",2024-10-26 06:52:19,"The ads seem nice, but when i play, i have to pay. Just make it so you have to pay for your app instead of letting someone download it for no reason because they dont have enough money. Would be one star if the ads didn't look as good.",2,Futao Mote
"{'reviewId': '3f5b7dde-3229-42f0-b380-f81ec0ab73db', 'userName': 'Heather S', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjW5LNeFBUU2mkhBCYy1_r-6_e_rTipxWG09m-982SiLWYLGwIlXNQ', 'content': 'Pretty messed up we always have to pay ridiculous amounts for our kids to LEARN!', 'score': 1, 'thumbsUpCount': 12, 'reviewCreatedVersion': '40.0.6', 'at': datetime.datetime(2024, 10, 22, 11, 0, 12), 'replyContent': ""Hi Heather! Our app is on a subscription so that we can continue to provide high quality content, including seasonal content and new toys, without ads or microtransactions that can be dangerous or frustrating for kids. We'd be happy to discuss any concerns you have with our pricing options further if you reach out to us at support@playpokpok.com!"", 'repliedAt': datetime.datetime(2024, 10, 22, 11, 40, 37), 'appVersion': '40.0.6'}",2024-10-22 11:00:12,Pretty messed up we always have to pay ridiculous amounts for our kids to LEARN!,1,Heather S
"{'reviewId': '2b523a4c-3c53-4803-8fbb-08182e6efb18', 'userName': 'AJames Esposito', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjW1CWHwGFZGu-2xcLgATUXRY8LBhvYkTkMgV__FeatP5vylbFw', 'content': 'Worst App Ever. When I tried to get in, I thought the sign in was going to be ""free"" but no! Every time I try to get in it takes me back to the page I was on before! Why Can\'t App Like This Be More ""FREE"" Like Other Preschool Apps?! (Edit: I\'m only 12!)', 'score': 1, 'thumbsUpCount': 2, 'reviewCreatedVersion': None, 'at': datetime.datetime(2024, 10, 24, 20, 32, 46), 'replyContent': ""Hey there! We have a free 7 day trial but you will need an adult to help you access it. If you or they have any questions you can always email us at support@playpokpok.com and we'll be happy to help! 🤗"", 'repliedAt': datetime.datetime(2024, 10, 24, 20, 45, 20), 'appVersion': None}",2024-10-24 20:32:46,"Worst App Ever. When I tried to get in, I thought the sign in was going to be ""free"" but no! Every time I try to get in it takes me back to the page I was on before! Why Can't App Like This Be More ""FREE"" Like Other Preschool Apps?! (Edit: I'm only 12!)",1,AJames Esposito
"{'reviewId': 'a86febc0-87a8-4097-801b-097f3ea44e34', 'userName': 'scott cameron', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocLcSQQXUKq6NxCW--DrI2k2iaTduHRFuN1WWggbGFtGZnlV8Q=mo', 'content': 'This app was exactly what I needed to occupy my kid without being too stimulating. We use it a lot during trips or when I am busy at home instead of watching TV. I recommend that people try it out.', 'score': 5, 'thumbsUpCount': 4, 'reviewCreatedVersion': None, 'at': datetime.datetime(2024, 10, 16, 12, 4, 10), 'replyContent': 'Thanks, Scott! 😊', 'repliedAt': datetime.datetime(2024, 10, 18, 7, 45, 11), 'appVersion': None}",2024-10-16 12:04:10,This app was exactly what I needed to occupy my kid without being too stimulating. We use it a lot during trips or when I am busy at home instead of watching TV. I recommend that people try it out.,5,scott cameron
