date,review,rating,isEdited,title,userName,developerResponse
2023-10-26 19:07:49,"First, I’m willing to change my review here, however, I’d like the app developer to delete the “our story” from the homepage and embed it someplace else on this app. my son used to love letter tracing on this app. But since the app developer has embedded the “our story” video on this app and all their apps homepages/s, all my son does is click on this video over and over again. I have intentionally deleted you tube from our electronic devices. He thinks he is watching a you tube video. I was actually so happy that my son was, before recently, learning his alphabet and connecting the words to everyday objects. This is a deal breaker for me, i’d rather just pay for the app then have to keep being subjected to watching this video repeatedly. It’s ruining the app experience for me. I’m very close to just deleting all the apps from our electronic devices. Which is just such a send because up until recently, I really liked and was very loyal to these apps. This is been a significant game changer, and that our son will just not stop watching this video to the point that I’ve memorized probably all of the script. Very annoying.",1,False,Delete “our story”,Rhudy26,
2020-02-22 18:05:15,"I’m pretty picky when it comes to screen time for my toddler. Here’s why this app makes the cut:
- educational - my 2 year old is quickly learning to trace letters
- no ads!!!
- full version is free, not just one or two letters
- to close out of a particular activity, the x is faded and you have to click and drag it. This helps my son stick with the activity rather than always being tempted to click the red button and get mad when the game disappears.
- requires just the right amount of accuracy - needs to be close but doesn’t have to be exactly in the lines
- fun rewards - verbal encouragement (my son quickly started saying “well done”), stickers (very exciting for a 2 year old), and presents (he doesn’t care as much about these but gets excited when it’s a ball or drum or something else he recognizes and likes)
- Parents can adjust settings to meet the needs of their child
- Activities for different ability levels - some activities are perfect for him right now, others will be perfect for him down the road

So far we’ve only tried the ABC app. Looking forward to trying the others.",5,False,Fantastic app for kids,LinzATP,
2021-07-01 02:53:36,"To the Developers: thank you for putting your heart and soul into this app. Our 2 year old starting using this app a month ago and he now can correctly pick out 70% of letters and can tell them out of order. He loves Lucas and Ruby and asks us to play with his “fwends”. The positive nature of the app is so special. He now walks around and says Good Job” “You Did It”. The positive reinforcement is really important and well done.
We happily will give him screen time with these apps. We are so grateful for the characters, colors and the add free nature. I bet his 3 year old party will be a Lucas and Ruby Party.",5,False,Amazing Apps,Cojoe44,
2023-08-30 23:09:09,"I especially like that this FREE app teaches kids the correct strokes when making the letters. As as a resource teacher for 30 years teaching  students diagnosed with reading disorders, I noticed that a lot of them didn’t make the letters correctly. Preschools don’t  teach the strokes because it’s not a requirement but in K and 1 st when the teachers show the correct strokes for each letters, the students  don’t really pay attention because they have been writing for a while and think they are making them correctly.  Just my opinion.",5,False,Great app! Teacher approved!,Celmoe,
2020-04-22 15:54:00,"This app is so amazing! I was teaching my 3 year old letters, but she’s been everting tired of it, and isn’t interested. When we used this app she instantly began to remember letters even when we weren’t on the app. Also, unlike most other apps like this, everything is available for free, and they aren’t trying to trick you into buying anything more! I have downloaded over ten apps that all would a few letter for free and ask you to pay for the rest, this app is incredible. I 100% recommend!",5,False,AMAZING,User987456,
2021-03-10 17:52:07,"This is the best tracing app I’ve used, primarily because it only lets the kid trace in the correct motion, and starts over when they do something else. I could also choose 1 or more letters to practice. Previously, the best thing is I could set the kid to practice the letter “A” and press the next arrow. After 3 tries they would earn a gift or sticker. Now the app no longer lets us go to the next - I have to back out completely and restart in between each and every try, which means the kid no longer earns a reward after 3 successful attempts. This is upsetting to the child, because I have to take the tablet to set it up, and because there is no longer a reward. With the next ability the app was amazing. Without it, the app feels broken and cumbersome.",1,False,"Was great, now broken",alphabet$,
2019-11-28 18:46:20,"At first I could not get the sound to work even when checking my phone settings and the app settings. Turns out my phone was in silent mode via the side switch! The sound works now. Also, the app developers responded to my concern so that was very helpful! My kids love this app and it reinforces what I try to teach them individually. If there is an opportunity to play a game like this or waste time on a no -learning game, I’d always choose this one!",5,True,Responded to my concern,jphizzz,"{'id': 12059637, 'body': 'It seems that the ringer/silent switch on your iPhone is enabled, please make it disable to get the sound. Hopefully, this will fix the issue. Please update review and rating from 3 star if this fixes the issue. 🙏 Every review from parents matters to us since this is a passion project. 😀 \r\n', 'modified': '2019-11-26T10:24:26Z'}"
2024-07-22 15:17:50,I absolutely love the Lucas and friends apps for our toddler! We don’t generally do screen time because we’ve found a lot of apps aren’t very educational or have in app purchases that aren’t very hard to purchase with a crazy toddler hitting buttons. Dave providing several free apps (free to download and NO ADS/IN APP PURCHASES) that are not only cute and fun but educational has been exactly what I’ve been looking for! Thank you so so much Dave!,5,False,THE BEST!!!,B.eli,
2024-09-02 20:33:38,"The only issue I have,that might just be the iPads fault, on the abc kids app 4th activity on the top row it won’t let me open it. I’ve tried flipping the screen and turning on and off the iPad but it’s not letting me open it. I can open it on my phone so it might just be my iPads fault. It’s the only activity that won’t open too. Other than that we love all your apps 🥰",5,False,Love all the apps,MamaCook2,
2022-07-25 14:23:46,"My nices are going to kindergarden/prek so I got this app and I thought it would be like all toddler games with in app purchases and tons of ads, but no! It’s has all of the games and no ads! And I thought it was nice so I got the number game and coloring game and my nices like it when the lion has a propeller on his head. I wish there was sight words option tho but overall nice game and highly recommend it",5,False,Amazing app,as ggs sad asc vghgdftgj,
