date,developerResponse,review,rating,isEdited,title,userName
2023-01-27 09:48:46,"{'id': 34575065, 'body': 'We sincerely appreciate your encouraging review! So glad to hear how well Khan Kids is working out for your family. ', 'modified': '2023-01-30T21:53:21Z'}","Kahn Academy Kids is the best educational kids app I have found for my kiddos. The lessons are fun and engages my kids making it exciting to learn. We now use this app daily as a supplement to what they are learning in school. I have a 3 and 6 year old and both of them have their own profile and things we are working on. My 6 year old is learning how to read and he loves reading the books on the app out loud to me. My 3 year old is learning her letter sounds and this app actually pronounces the letter sound correctly for her. Super impressed by that as I haven’t found that to be common practice with education all apps - even on leap frog academy. The app is very intuitive to use and easy for my kids. I appreciate this because I can leave them to work on it independently or work alongside them - whichever I choose. Again, this is hard to come by. I also love how they get still get challenged by the lessons and actually grow and learn without feeling left discouraged. It gently nudges them if they get something incorrect. The math portion is wonderful as well and something I will be exploring more of. We have only had the app a week and there is SO much we can use this for. I felt compelled to leave a review already for the amount we have already used and enjoyed Khan Academy. Download this without hesitation for your child. You won’t regret it.",5,False,Wow! Just what my kids needed!,Triciaroseyrose
2021-01-01 16:18:30,"{'id': 20176204, 'body': ""It's exciting to hear that your son is beginning to read the short stories! Thank you so much for the review! If you have any questions or suggestions for the app, feel free to reach out to khankids@khanacademy.org. "", 'modified': '2021-01-04T23:34:13Z'}","My daughter(age 7) used Khan Academy in school prior to the 2020 pandemic. Our school district listed Khan Academy as a resource to use when schools began closing in March. We used it in addition to her other school work during that time. 

We decided to try this app for our son that is preschool age but needs just a little more time before introduction to a public setting and teachers; he’s our spirited one. Our son (age 4) LOVES this app, he willingly selects Khan Academy when we give him screen time. He actually stays engaged for long periods of time and has fun doing it. He uses the information learned from his lessons and applies it to his toys or in real life settings. He’s even begun to read short stories!! 

In conclusion, my personal opinion is that this app is amazing. If you have children that are already in school and need a little something to stay engaged; get this app. If you have a wild tornado child (our son) that has shown interest in learning but they are not quite ready to be put into a school setting; get this app. They go at their own pace and advance to the next subject after mastering the first. They also offer additional resources on the website for your kids, such as circle time videos, free printable worksheets. I wish more educational websites/apps worked like Khan Academy! Again, my own personal opinion and each family/child is different, but Khan Academy is a perfect fit for us.",5,False,A+ app for kids!,keeperofthecookies
2024-01-30 17:53:10,"{'id': 41714643, 'body': ""It's so exciting to hear that Khan Kids helped your child learn to read. Thanks so much for your message. Our team was so happy to read your review!"", 'modified': '2024-02-02T18:58:58Z'}","I have used this app for years with all 3 of my kids. They all love collecting the prizes and exploring the library on there. It is EXCEPTIONAL quality and I am so grateful they keep this resource completely free. I have tried subscription based education programs similar to this. My kids liked Khan Academy better. It’s more engaging, has the same content quality and it is super cute too. You know how some of the educational stuff for young kids out there is just kinda.. cringy? Makes you scrunch up your face and you can’t look away?? Khan isn’t. That’s a nice bonus..

I added my youngest on there probably around 18 months. His older siblings got screens, he wasn’t going to tolerate being left out. So might as well make it something productive, right? I was curious to see how it would make activities interactive for such a young age group. The lowest age group, I think, is designed for 2 years old. It was definitely just blindly poking every option on the screen at first, but now that he’s nearly 2 he can definitely get through the activities by himself much easier. My oldest doesn’t really use it anymore, but I credit this app for helping him learn to read. When he entered kindergarten, he was evaluated and found to be, at least, 2nd grade reading level.

Thank you for creating this wonderful resource, Khan Academy. I am truly grateful.",5,False,The Absolute Best,Zin468
2024-07-23 02:36:02,"{'id': 45577529, 'body': ""We're so pleased you discovered Khan Kids! Happy to hear that your kids are learning so much with the app. Thanks for taking the time to share your recommendation!"", 'modified': '2024-07-28T19:55:00Z'}","I don’t even know where to start! I am so impressed by this FREE app! Searched on google for the best “free” or “ONE-TIME purchase” apps for small toddlers and Khans Academy made every Links Top-List! For a free app it’s amazing! They work on everything imaginable! They ask you questions in the beginning to help accommodate the age level in which will be playing on their app (it also has MULTIPLE kid account option incase you have multiple children, which is even better!) so I made an account for my 2 year old and my 3.5 year old… so far I have watched my 3.5 year old work on phonics matching, letter writing and also number counting as well as number searching/association! The cartoon graphics are SO IMPRESSIVE! the team that put this app together really put A LOT of thought 💭 & heart ♥️ into it and let me tell ya: it really shows! It keeps the attention span going! Every few games they will throw in a Super Simple Song/Video! So far I truly love everything about this app! They find themselves on the #1 slot to all these websites for “Top Recommendations FOR A REASON! I thought I found a gold mine when I found “Monkey Preschool Lunchbox” (that I had to pay a one-time VERY SMALL payment) I’m just so blown away that something so amazing (Khan Academy) was FREE! Thanks for listening to my Ted Talk! 😆",5,False,Absolutely blown away! They are partnered with Super Simple Songs! DOWNLOAD IT!,tinabeanababy
2020-09-10 21:56:42,"{'id': 17878584, 'body': 'Our design team will be so happy to hear your feedback. Thanks for taking the time to leave such a detailed review. Feel free to reach us directly if you ever have questions about Khan Kids: khankids@khanacademy.org. ', 'modified': '2020-09-14T23:09:39Z'}","My 4-year-old has been cruising through several apps over the summer and most seem to be designed to entertain kids with a hope that they’ll learn something, or they’re a mashup of kid shows and other “silly” content. I’m not saying they’re *bad* but my daughter is definitely more checked out after being on them after a while. They also don’t take into account kids different learning levels. The apps are the same for every kid.  

Khan Academy Kids is not like that. You can pick the difficulty level to match your kid’s ability which is awesome. I set up two profiles for my daughter. One set at kindergarten level that she can use in her own, and one at 1st grade level that she can do with a bit of monitoring if she gets stuck. It’s awesome. 

The whole experience is designed to promote learning in a way that’s engaging for kids but not silly. Everything has been designed with purpose. There are so many small details that I’ve noticed in the app that help my daughter get unstuck. They really do such a good job keeping kids focused on the right things and instructing in a way that is easy to understand and relatable for kids. Even the characters voices are soothing and child-like, as if it was a veteran kindergarten teacher speaking. Brilliant all around!",5,False,Very well-designed for actual learning,CrocoPhile
2020-05-13 03:32:26,"{'id': 15346492, 'body': 'Hello Ben. Thanks for your comments and feedback. Our engineering team would like to know more about the details of your experience with the app. If you have a moment to contact our support team at khankids@khanacademy.org, and include your device information and region on the world, that would be helpful. Thank you!', 'modified': '2020-05-15T16:58:06Z'}","Khan Academy Kids is excellent in every respect: teaching, entertaining, FREE, humungous database of great quality content. It is a 5 start app, no question about it.
But... the problem is that most activities are loaded from their servers and even if you have a very fast connection; their servers are overwhelmed because this is such a popular and super amazing app, especially being FREE; that millions of parents around the world use it constantly. I use it with my two daughters (2 and 4 years old) every single night. They love it! But often times we have to wait 20 to 30 seconds for a particular module or activity to load. We have a 300mbps Comcast connection with a strong WiFi router which is basically next door. Oh, and I am an IT guys with over 25 years of experience.
I am not complaining since this app is FREE and it is the best educational app in the planet by a long stretch. But I wish their servers offer would be more on par with their demand. I have no idea how this amazing company makes money out of this app because they don’t even show you ads. So, I understand why this will continue to be an issue for a while.
However, this is an EXCELLENT app, by far the best in the world to teach your kids all that it’s offered inside the app. 5 stars and super highly recommended!!",5,False,Best in the World but...,BenjaminTemplar
2020-06-01 21:48:37,"{'id': 15759854, 'body': ""Understood. Thank you for taking the time to write your feedback. We've noted your suggestion about adding more word choices for our content team. "", 'modified': '2020-06-03T21:25:09Z'}","We recently purchased an iPad as corona and sheltering in place got the better of us. We were parents who avoided screen time like plague for our 2.5 year old son. But with schools closed and work from home getting challenging, we caved. However, the only app on his iPad is Khan Kids and with that, we have no regrets. He has learnt so much from watching those videos and playing the interactive word and logic puzzles that he has mastered most 3 letter spellings. Having been schooled in india, we as parents also found it informative to watch some of the phonics videos and unlearn our ways of learning and learn to teach him the way things are taught in schools here: the best part is no ads. We love the app so much that we are now recurring monthly contributors to khan kids. One suggestion for developers is to be able to increase the pool of words that feature in the word puzzles or allow parents to increase difficulty level once kids have aced a certain section of the learning. When the same set of 3 letter words repeat, my son begins to lose interest and gets visibly frustrated. He says ‘I just did this cody’ and gets upset when Cody gives him the same choices over and over again :)",5,False,Makes screen time worth it’s weight in gold!,Nishadal
2023-02-24 16:38:36,"{'id': 35193157, 'body': ""We're grateful that you shared your experience with Khan Kids, and hearing that it's helping your daughter's confidence grow. Thank you so much for your review! "", 'modified': '2023-03-03T19:59:18Z'}","I thought I will never let my kid get on any apps but I don’t mind my daughter using this app. She is 5 and going to start kindergarten. Last six months or so I got her to do books, play with interlocking blocks, do free hand drawings etc once she started to write, read and draw I thought to introduce technology. It was hard to decide upon what app to use. I tried IXL app first that is good but more my daughter got bored a little as it had  a lot of repetitive concepts more applicable more towards older kids. Then I came across Khan academic app. My daughter likes it a lot. She likes how those characters provide her feedback, each exercise starts with an example, it nudges her nicely and correct herself with useful clues. This app is helping her get independent and confident in her knowledge. Kids learn by making mistakes and giving information about correcting them by providing a good context and that is what I see happening when my daughter uses it. This is free so I am very grateful to people who created it. It is a very good resource and I agree that kids who don’t go to expensive prek programs and are behind their peers when they start.",5,False,"Educational, informative, keep’s kids interest",Nish Kaur
2023-11-19 03:32:27,"{'id': 40397805, 'body': 'We appreciate your detailed feedback and have noted it for our team. We consistently add new features and lessons into our curriculum. Thank you for the suggestions!', 'modified': '2023-11-29T01:17:02Z'}","Having learned a lot from Kahn Academy over the years, I was excited to learn of Kahn Academy for Kids. The positive points are that the interface is adorable and clearly a lot of effort went into the UI development. However, I wish they had spent as much time planning out the learning as they did the UI. This is not a platform that you would use to TEACH a child skills. This is a platform you would instead use to quiz a child on skills they already learned elsewhere. 

For example, in an actual snapshot of seconds they show a bunch of animals lined up for ice cream and say, very quickly, “This one is first, this one is second, this one is third, and this one is fourth. Which one is third?” If a child had never before been introduced to the concept of sequencing, then that is definitely not enough of an introduction for the child to answer that question correctly. Lots of tears will be witnessed. 

Also, I feel there a better job could have been done of assessing a child’s skills at the start. The only thing they ask is age and then they put your child in the “grade” that a typically developing child would be at that age. Not all children are typical, and those of us without typically developing children are looking for extra tools to help us along the way.",2,False,This is for quizzing…not for learning,CertifiedMoxie
2023-09-04 15:55:41,"{'id': 38808586, 'body': 'Thank you for your suggestions about Khan Academy Kids. We value your input, and have noted your requests about additional content restrictions for our development team to consider in future updates. You may be interested in our teacher version of the app that enables users to assign lessons to a student, and restricts other areas of the app until those lessons are completed. Here is more information: https://khankids.zendesk.com/hc/en-us/articles/17031195532059--NEW-Manage-student-access-to-areas-of-the-app', 'modified': '2023-09-08T17:43:17Z'}","I noticed that new features to restrict buttons were added over the years such as turning off the library buttons and videos and play, but little is done to restrict a child from playing an activity over and over and over. My child has a special interest in letters, but he is way beyond letters. I give him the app, that is all he will do unless I guided access block areas of the screen to deny him from endlessly repeating the same activities over and over. The result is, the guided access screen area restrict ions are cover half the screen where he can’t play any activities at all. Suggestions before I can give a 5 star: put the grade level restriction tab in the parents menu rather than where kids can have access. Allow me to turn off all tabs individually from the parent menus. Remove letter books from the books tab, they belong in the letters tab. Also, improve the parent access prompts beyond just swipe up and down, because kiddos can read. Parent access prompts such as single digit and double digit multiplication options work well at blocking my kiddo in his other apps. Also, don’t prompt for parents birth year, there was a 1:10 chance of my kiddo guessing an appropriate birth year and now he puts 1969 in all similar prompts. I love this app, but without certain modifications, it become completely useless.",1,False,More parental restrictions please,jaymezzy
