date,review,rating,isEdited,title,userName,developerResponse
2020-04-13 14:24:53,"I downloaded this for my 3 year old to do at home. He usually attends a bilingual Montessori school. I figured I’ll let the trial period transfer to the monthly subscription if he liked it. Much to my disgust, I discovered that the trial automatically transfers to a $65/year annual subscription instead of the monthly subscription. I wasn’t even given an option to choose monthly or annual. Totally unethical! Who does that? Now that I’ve already been charged I know they won’t want to refund me at all even though I cancelled it. They count on people not noticing this so they can charge you the full amount. 

I wouldn’t mind the $65 charge so much if I thought the app was worth it, but it’s not. It’s not very intuitive on what are the actual activities vs what’s random stuff in the classroom that just makes sounds. Also, why is there not cursive hand writing lessons in this app? That’s part of the core Montessori learning experience. My friend recommended Kahn Academy Kids to me as a 100% free alternative (no trial). It loads faster, has better content, and has a more intuitive layout. I would rather pay $65/year for that than for this Montessori Preschool app. 

If I was refunded the annual fee less a 1 month subscription fee I would consider changing my review to 4 stars.",1,False,Trial to subscription is misleading,Priskittles,"{'id': 14658296, 'body': 'Hello, we’re sorry to hear that you don’t like our app. The choice between monthly and yearly is made when you start the free trial, everything is explained. We’d be happy to discuss this with you as well as show you where the cursive is in the app. Please contact us on support@edokiacademy.com and ask for Valerie. ', 'modified': '2020-04-14T12:11:40Z'}"
2019-12-11 09:37:30,"This is not a free app as advertised. You can’t do a single thing without subscribing. The subscription cost is absurdly high when you consider how many apps offer at least SOME of this type of content for free. The preview they offer isn’t enough to entice me into doing a free trial, especially when it seems “free trials” for apps are meant to dupe people into paying the subscription. I didn’t see ANY promise of continued content being produced, so why would someone do a monthly or yearly subscription? That’s like a textbook book, with a finite amount of content, coming with a monthly subscription rate. Umm, no thanks. I might pay a flat rate for it if the preview made it look worth it, but it definitely doesn’t seem worth subscribing. My daughter is 2.5 years old and she’d be done with all the matching, sorting, color, shapes and a couple other things in the preview after about an hour. If there’s more to explore for her developmental range, I didn’t see it in the preview.",2,False,No thanks,HorribleSpider,"{'id': 12342436, 'body': ""Hello and thank you for your feedback. Our product offers 10 free games + a 7 day trial, we're thought it was enough for users to make up their mind but we will definitely look to improve our offer. Also, concerning the content, we promise at least 6 updates with new content per year and browsing the catalog should show how much content the app has. If your daughter is 2.5 years old, she could be using it for a long time as the app teaches phonics and basic math including first additions. Last but not least, the subscription includes 7 languages which increases the learning content.  If you would like to discuss more, you can contact us on support@edokiacademy.com, we're here to answer all of your questions."", 'modified': '2019-12-11T15:45:24Z'}"
2020-05-08 03:37:07,Our daughter loves this app!! We originally signed her up when she was 3 yrs old but she’s still loving it at 4 too. There’s practical play along with basic Montessori principles. Simple visual and auditory aids are such a nice break from the fluorescent colors and loud sounds which usually accompany children’s games and apps. We’ve also printed out the PDFs that come with the app for her to color and she loves it. Upon switching devices we had a problem and reached out to customer service which was extremely quick to reply and very helpful to solve our issue. The cost of the app may seem pricey but IMO it is well worth it.,5,False,Great app for 3-4 year old,K***st**n<3,
2024-11-24 04:45:23,"My older daughter downloaded this for my younger daughter without my knowledge. I was charged before I realized it but when I did (the next day) I cancelled and requested a refund. I was denied twice. I have been told the only resolution is to file a dispute with my bank, after which point I will be locked out of my App Store account. Customer service with Apple provides no resolution and I was told it was an automated system that denied my refund request and that there is no human process to override it. What horrible customer service from Apple, but also how on earth can a kids app not come with understanding that kids might make an accidental purchase and quick refunds not be provided in that instance? This feels so scammy to me and I don’t know if the app is behind it or Apple or both but I am not happy.",1,False,Refund request denied,Amybeth88,
2020-04-25 15:25:31,"The app is very good with a lot of variety, my daughter really engaged with it for the time we had it-she’s just turned 7 so we aren’t keeping it simply because she’s growing out of that stage. BUT I would say it’s a very good app for kids up to 5 or 6. Covers a lot of different subjects without the kids noticing. It’s similar to PBS cute-ness. 

I had trouble cancelling the subscription now that it’s usefulness is past, but they have sent information to help me contact them directly, so it seems they value customer service as well. Another plus.",5,True,"Good app, lots of variety",Annoyed with technology,"{'id': 14900023, 'body': 'Hello, our client support team answers all the emails sent to support@edokiacademy.com', 'modified': '2020-04-25T03:51:16Z'}"
2020-06-15 05:14:58,This app designer displays very unethical behavior unbecoming of a company who produces content for CHILDREN. I Downloaded this app in search of educational content for my 4yr old during the pandemic. I was aware of the trial period however the way that it is pitched is very misleading. I was automatically enrolled into the one year subscription that the app provides at an absurd price for what is offered. I was not given the opportunity to select the one month subscription prior to paying $64. I also see that this app is very active in responding to its customers. I put in a request for a full refund and have canceled the service. I expect and hope to hear from your company soon as well as a prompt return of the money that was taken!,1,False,Misleading subscription,Lishakat,"{'id': 15998642, 'body': ""Hello, we're sorry to hear this, we would love to help. You say you contacted us on support@edokiacademy.com but we cannot find your email, would you mind writing again and asking for Valerie please?"", 'modified': '2020-06-15T15:34:50Z'}"
2020-08-07 22:18:28,"My toddler has been using this app for a week now and overall it seems great. However there’s a section in the app where kids can learn to cook on the stove. After you select items to cook, you cut them up into small pieces. One of the protein options is sausage and when you start cutting it, it makes a pretty obvious image of a penis (how original.) No other food item that shape seems to cut the same way either. It’s obvious enough that my two year old asked me what it was. Now I feel like I have to sit and watch every detail of this app if he were to continue to use it.",3,False,"Overall great app, but inappropriate food item",SMC-2017,"{'id': 17158157, 'body': 'Hello, we have seen your email into our support center we have responded directly to your email address . Best, ', 'modified': '2020-08-08T14:57:34Z'}"
2020-07-04 15:29:47,"I don’t think I have ever paid a monthly subscription or spent more than $3+ on purchasing an app. However, with my 4 year old absolutely loving and learning from this Montessori Preschool, we had no problem spending the $7 a month. It’s been a great way for him to learn as he is unable to go to preschool due to the conditions of the world. He is always asking us for his iPad so he can do his school work. Our child loves and looks forward to using this app and learning.",5,False,Actually Paid For This App,SpicyTea18,
2021-09-20 20:40:17,Did the trial app is not user friendly. A year later I get a receipt charge of $59!ask for a refund and canceling the subscription of an app I had to look up because of it all about it that’s how memorable it is. We actually use the homer app way more user friendly and my child has learned a lot. Really upset with their response that they wouldn’t auto renew in 2022 but I’m still being billed for a year you don’t even get an email notifying you of the renewals before hand just a fat bill. Don’t even do the free trial not worth it so they can bill you unexpectedly with no refund. I would give it zero stars if I had the option.,1,False,Zero stars did not meet expectations,santilucy,"{'id': 25355777, 'body': 'Hello, thank you for contacting our support team, we have answered your email.', 'modified': '2021-09-27T22:23:14Z'}"
2021-01-01 21:50:15,"The free version of this app is practically adware for the paid version. Ads in the UI, constant upsell queues, distracting animations until you pay.

Were it well made I would consider doing the free trial to see what the paid experience is like, but the paint app showed me this is lower quality than the free Khan Academy Kids app. The differences being that this locks all but a few pictures and the drawing sound likes the gesture and paint by hundreds of milliseconds.

I’m glad people are making money helping kids to learn, but it’s got to be better than what’s free. Check out the Khan Academy Kids app for an entirely and permanently free app that covers much of the same curriculum.",2,False,"Not free, not well made",Taapl,"{'id': 20152742, 'body': 'Hello, Our app offers 10 completely free games straight from download for you to get a first taste.  If you want to try the full content, you need to start a subscription but the first 7 days are free and as long as you unsubscribe at least 24 hours before the end of this period, you will not get charged anything.\r\n\r\n', 'modified': '2021-01-04T07:23:55Z'}"
